rank,id,track_id,caption,clap_spread,key_tag,key_spread,winner,loser,af_delta,mf_delta,tradeoff,clap_musicgen_large,clap_stable_audio_3,clap_meanaudio,clap_acestep_1_5,mqa_qwen_musicgen_large,mqa_qwen_stable_audio_3,mqa_qwen_meanaudio,mqa_qwen_acestep_1_5
69,-cLzki-B06o,,This is a Kurdish folk music piece. The main melody is first played by the baglama and then by the zurna. The rhythmic background consists of an electronic drum beat and supportive percussive elements. The atmosphere is lively. This piece could be used as an accompaniment piece for a folk dance course such as the halay dance.,0.0670,instrument:baglama,0.9937,stable_audio_3,meanaudio,0.9266,0.9610,1,0.4021,0.3350,0.3538,0.3653,0.9540,0.8521,0.5451,0.8143
70,uCCdUB7D10U,,"The song is an instrumental. The tempo is medium with a steady drum march rhythm, steady bass line, keyboard harmony and a synth string section. The song is Eros’s and emotional. The song has poor audio quality.",0.0673,instrument:drums,0.9512,stable_audio_3,acestep_1_5,0.3622,0.4778,1,0.1838,0.2361,0.1689,0.2099,0.9285,0.4982,0.7930,0.7199
71,K_G_k1WTdoc,,The low quality recording features a classical song that consists of a harpsichord melody that sounds emotional and passionate. The recording is a bit noisy.,0.0675,mood_theme:passionate,0.9501,meanaudio,acestep_1_5,0.4667,0.2583,1,0.3732,0.3630,0.3071,0.3057,0.8577,0.8047,0.9155,0.3051
72,vYP60jdTupc,,An e-bass and strings are playing a simple melody to elevate the atmosphere. In the background an acoustic piano is playing a melody along with the drums. Then a female voice starts singing while the crowd starts cheering. This song may be playing live during a tv-show.,0.0675,instrument:drums,0.9989,stable_audio_3,acestep_1_5,0.4582,0.7957,1,0.1758,0.2428,0.1753,0.2071,0.4651,0.9487,0.7533,0.5240
73,dKJk3JavNzo,,"A male vocalist sings this lively African song. The tempo is fast with synthesiser arrangements, bright drumming and African percussive instruments. This song is a happy, cheerful, colourful, infectious ,captivating Nigerian Music.",0.0678,vocal:male vocal,0.9956,stable_audio_3,acestep_1_5,0.9528,0.6189,1,0.3975,0.4337,0.4482,0.4653,0.8526,0.9008,0.9520,0.8430
74,uegzZWp6Y4w,,This song features a male voice narrating a story in the beginning. This is followed by a drum roll in a marching beat style. A bass note is played which is the root note of the chord. An organ strikes a chord and plays it staccato style. A guitar also strikes a chord. There are no other instruments in this song. This song can be played in a movie trailer.,0.0682,vocal:male vocal,0.9903,stable_audio_3,acestep_1_5,0.7610,0.1021,1,0.1352,0.1268,0.0670,0.1160,0.5641,0.8257,0.6127,0.3969
75,C4-mZ1jGQ-E,,"The Reggae song features a flat male vocal rapping over shimmering cymbals, heavy bass, bouncy snare, wide sustained synth lead and ""4 on the floor"" kick pattern. Even though the song is uptempo, it sounds easygoing and like something you would listen to in a car, or while chilling.",0.0684,genre:reggae,0.9936,musicgen_large,stable_audio_3,0.8529,0.9819,1,0.3084,0.3367,0.3588,0.3768,0.6303,0.7097,0.8338,0.6067
76,dUlQepCYXgw,,This song features a flute playing the main melody. The flute plays staccato notes and allows only the last note to be sustained. This is accompanied by a cello playing the same melody in the lower register. There are no voices in this song. This song is an instrumental. This folk song features no other instruments. This song can be played in an animation movie featuring fairies.,0.0686,genre:folk,0.9469,meanaudio,musicgen_large,0.7573,0.7934,1,0.5371,0.4839,0.4685,0.4893,0.6855,0.6995,0.7836,0.8791
77,IJw2o_Yg00Q,,This is an electronic music piece. There is a high-pitched synth and stabbing strings in the melodic structure. An occasional vocal sample can be heard adding a haunting texture. There is a loud electronic drum beat in the rhythmic background. The atmosphere is unnerving and filled with terror. This piece could be used in a horror movie or a horror video game.,0.0691,mood_theme:terrifying,0.9451,stable_audio_3,acestep_1_5,0.4457,0.2130,1,0.2927,0.3207,0.3512,0.2820,0.7695,0.7238,0.8620,0.5064
78,khQN5ylb3H0,,"Big band jazz style music featuring a lead clarinetist soloing over a walking bassline, electric jazz guitar, a wind section, brass, string section, and a choir.",0.0696,instrument:clarinet,0.9987,meanaudio,stable_audio_3,0.9096,0.9564,1,0.2507,0.3202,0.3202,0.2663,0.6238,0.3720,0.4493,0.6589
79,3mNOJpN_qOQ,,An acoustic guitar is playing single notes of a minor chord progression alongside an acoustic piano playing a melody on itself. Then a string-section comes in for a moment elevating the emotional piece giving it a beauty and soft sadness. The instruments are slightly panned to the left and right side of the speakers. The female voice is softly singing with a little bit of reverb on her voice. This song may be playing at a theater-performance.,0.0702,vocal:female vocal,0.9284,stable_audio_3,acestep_1_5,0.8868,0.9455,1,0.2131,0.2230,0.2101,0.1528,0.6118,0.7447,0.7053,0.6284
80,IlUcHzBzZvg,,"A male vocalist sings a lively hip hop. The tempo is fast with energetic drumming, groovy bass lines and keyboard accompaniment with female backup vocals. The song is incoherent and muffled with a loud scratching like sound dominating the audio. The audio is chaotic, confusing, incoherent and unpleasant to the ears.",0.0703,vocal:male vocal,0.9882,stable_audio_3,musicgen_large,0.9158,0.9908,1,0.1572,0.2141,0.1437,0.1826,0.5618,0.7988,0.7912,0.4697
81,IiJciyiQBDw,,"The low quality recording features a drawers opening sound effects followed by a background orchestra music. The recording is extremely noisy, as it was probably recorded with a poor quality microphone or a phone.",0.0706,context:drawers opening sound effects,0.9937,stable_audio_3,meanaudio,0.2447,-0.0622,1,0.2765,0.2752,0.2112,0.2059,0.6180,0.5059,0.4981,0.5262
82,-taO6N-rxv4,,This is a rock music piece playing in the background of a tutorial video. There is an electric guitar playing a simple tune as the lead while another provides a rhythmic backing by playing the same note repeatedly in rapid procession. There is an acoustic drum beat playing. There are water sound effects related to the video. The piece has a generic feeling. It does not evoke much excitement. It could be used as a jingle for an advertisement or in the background of an instructive video.,0.0713,genre:rock,0.9989,meanaudio,acestep_1_5,0.7759,0.9823,1,0.3423,0.3664,0.3005,0.2951,0.7943,0.7940,0.6018,0.7624
83,GUwBLItoJXk,,This is the live performance of a flamenco music piece. There is a male vocalist singing passionately in the Spanish language. An acoustic guitar strums a characteristic flamenco tune. Sounds of the crowd cheering can be heard in the background. The atmosphere is vibrant.,0.0715,vocal:male vocal,0.9953,stable_audio_3,acestep_1_5,0.8261,0.2914,1,0.3334,0.3365,0.2650,0.3014,0.7145,0.9154,0.9884,0.5411
84,aupCwPVWsMo,,This song contains a string section playing a short stroke melody in the lower range along to a digital acoustic drum playing a rather complex groove. Acoustic guitars are playing a melody. This song may be playing in a heroic movie scene.,0.0728,instrument:acoustic guitar,0.9939,stable_audio_3,acestep_1_5,0.8672,0.7802,1,0.3116,0.2594,0.2699,0.2388,0.7305,0.6085,0.6666,0.0728
85,-JvB5AL59fM,,An acoustic drum is playing a simple rock groove with some drum fills on the toms and snare along with a distorted e-bass and e-guitar playing the same line. Panned to the right side of the speaker you can hear a piano sound playing a little melody. A female voice is singing a happy sounding melody while male backing voices are supporting her. This song may be playing sitting in your room enjoying being at home alone.,0.0729,genre:rock,0.9970,meanaudio,acestep_1_5,0.8639,0.8820,1,0.3073,0.3078,0.3802,0.3404,0.5005,0.5641,0.4941,0.5029
86,YNv7mzbUUHc,,This is a gear comparison jam recorded with an electric guitar played with different chorus effect pedals. The electric guitar is playing simple tunes that sound dreamy with the added chorus effect. There is a psychedelic atmosphere. Certain parts of this recording can be sampled for use in beat-making or in advertisement jingles. These parts could also be played as an opening theme for rock music radio stations.,0.0731,genre:rock,0.9593,stable_audio_3,acestep_1_5,0.6481,0.4946,1,0.3549,0.3539,0.2818,0.3425,0.9147,0.8897,0.5888,0.6707
87,k_ET0i2y0Ow,,This audio contains someone playing a classical piece on a cembalo. This song may be playing live in a theater.,0.0731,genre:classical,0.9569,meanaudio,acestep_1_5,0.7095,0.9296,1,0.1400,0.2131,0.1596,0.1766,0.8654,0.7701,0.7876,0.5941
88,ETl0hYRlVmg,,"The low quality recording features a live performance of a jazz song and it features a passionate female vocal singing over shimmering hi hats, groovy piano chords and smooth double bass. The recording has some audio crackles and that would be the only reason for it to go under the ""low quality"" category. It sounds emotional, passionate and groovy.",0.0733,vocal:female vocal,0.9932,stable_audio_3,musicgen_large,0.9493,0.9517,1,0.1092,0.0359,0.0906,0.0608,0.5350,0.7009,0.7371,0.3127
89,CJjyrDGmxIY,,This song contains acoustic drums playing a kick on every beat and playing the hi hat with 16th notes. An e-bass is playing a simple line along with an organ sound in the background. Percussions are adding rhythms that want to make you dance. An e-guitar is playing another melody while the male and female voices are singing together creating harmonies. This song may be playing at a beach bar.,0.0734,instrument:acoustic drums,0.9266,meanaudio,acestep_1_5,0.6734,0.7721,1,0.3285,0.3536,0.3560,0.4019,0.6467,0.4734,0.7411,0.4521
90,AFwmMFq_xlc,,"A male singer sings this emotional song. The song is medium tempo with guitar accompaniment, strong bass line, steady drumming rhythm, violins playing emotional and tambourine percussion. The song is overlapped with sounds of a vehicle engine and Tarmac sounds.",0.0734,vocal:male vocal,0.9935,stable_audio_3,acestep_1_5,0.9173,0.8330,1,0.2870,0.3356,0.2689,0.2622,0.6016,0.7670,0.8187,0.3608
91,hm0SeoNSGkc,,"The low quality recording features a live performance of an arpeggiated acoustic guitar melody and plucked harp melody. It sounds mellow, soft, easygoing and the recording is really noisy and in mono.",0.0736,instrument:acoustic guitar,0.9704,musicgen_large,stable_audio_3,0.7436,0.9844,1,0.3265,0.3883,0.4001,0.3599,0.8066,0.8035,0.9140,0.7656
92,loyHHBilYPM,,"The low quality recording features a steel drums melody played over punchy kick and snare hits, shimmering hi hats and groovy bass. It sounds exotic and joyful. The recording is noisy.",0.0738,instrument:steel drums,0.9732,meanaudio,musicgen_large,0.5322,0.5581,1,0.3412,0.3559,0.2820,0.3201,0.5623,0.6329,0.7861,0.6647
93,2I6pPRWKsCQ,,"The low quality recording features a live performance of a R&B song that consists of muffled male vocal singing over groovy bass guitar, mellow synth keys melody and energetic drums. There are some crowd noises in the background. The recording is noisy, as it was probably recorded with a phone, but it sounds energetic, passionate and emotional.",0.0740,vocal:male vocal,0.9911,stable_audio_3,musicgen_large,0.8707,0.2202,1,0.1825,0.1710,0.1608,0.1085,0.4653,0.8323,0.7921,0.5142
94,ZNGvyFsCx4g,,This is a reggae piece. There is a male vocalist singing with a Jamaican accent. An electric guitar is playing the main melody with a groovy bass guitar in the background. The rhythmic background is a simple 2/4 reggae beat being played by acoustic drums. The atmosphere is very chill. This piece could be played at beaches and summertime barbecue parties.,0.0747,vocal:male vocal,0.9958,meanaudio,stable_audio_3,0.8593,0.9961,1,0.4622,0.3956,0.4301,0.4703,0.8288,0.8463,0.8545,0.6661
95,QpX9dSCFxRI,,"The low quality recording features a reverse processed low pitched female vocal, followed by punchy kick and snare hits, shimmering hi hats, synth keys chords and groovy bass. There are some crackling in the recording and it sounds energetic and exciting.",0.0751,mood_theme:exciting,0.9347,meanaudio,acestep_1_5,0.2673,-0.6382,1,0.3824,0.3073,0.3281,0.3092,0.5113,0.8241,0.7052,0.4292
96,DAPGvg8qOAU,,This is an acoustic folk piece. The main melody is being played with a mandolin while there is an acoustic guitar backing. A male vocalist is singing in a story-telling mood. The overall atmosphere of the piece is mellow. This piece could definitely be used in the soundtracks of romantic movies. It could also be played in sequences that emphasize longing and loneliness.,0.0754,vocal:male vocal,0.9700,stable_audio_3,acestep_1_5,0.9206,0.9621,1,0.3515,0.4011,0.3628,0.4269,0.8668,0.8472,0.8014,0.7747
97,vx5iuWuE2Ng,,This song contains acoustic drums playing a groove along with an e-bass and a tambourine. A brass section is playing along with the drum fills  and the bongos. A piano is playing a melody together with a guitar strumming chords in the mid range. The male singer sounds loud and soulful. This song may be playing in a rollerblade disco.,0.0757,instrument:brass section,0.9856,stable_audio_3,musicgen_large,0.6090,0.8130,1,0.3818,0.4484,0.3726,0.4227,0.5507,0.6797,0.5690,0.5478
98,9ZinCW4jTeE,,Various percussive instruments are being played. In the foreground stays the cowbell. A trumpet is playing the lead melody while other trumpets are supporting along with a piano playing chords together with an organ sound. A steeldrum is ending the phrase of a melody with his own melody. An e-bass is playing a complex salsa groove. This song may be playing dancing salsa.,0.0758,instrument:trumpet,0.9737,stable_audio_3,meanaudio,0.9333,0.8333,1,0.4927,0.4366,0.4289,0.5046,0.6219,0.5460,0.5079,0.7654
99,WNv-YNn1cZ8,,"The low quality recording features a pop song that consists of an echoing electric guitar melody, followed by really bad samples of knocking and door opening sound effects. At the end of the loop the synth keys and smooth synth bass appear. It sounds like an intro section of a song.",0.0759,instrument:electric guitar,0.9430,musicgen_large,acestep_1_5,0.4689,0.8459,1,0.4093,0.3941,0.3334,0.3683,0.6830,0.7084,0.5980,0.4135
100,zaEdWwSamS0,,Different melodies are being played by bell sounds;  e-piano; e-bass and in the background you can hear drone sounds and soft pads. A digital drum is playing a laid back groove. A sound-effect is coming in. The whole song sounds relaxing. This song may be playing for an advertisement.,0.0761,instrument:digital drum,0.9425,stable_audio_3,acestep_1_5,0.2005,0.4863,1,0.3372,0.3891,0.3131,0.3141,0.8271,0.7936,0.7176,0.5835
101,7NnvEryyYdo,,This is a cumbia piece. There is a female vocal singing seductively joined by male back vocals singing in the chorus. The trumpet is playing the main melody joined by the piano and the bass guitar in the background. Latin percussion playing a cumbia beat provides the rhythmic background. The atmosphere of the piece is very playful. The ideal setting for this piece can be a latin dance course.,0.0762,instrument:trumpet,0.9581,meanaudio,musicgen_large,0.6127,0.0549,1,0.4370,0.5131,0.4779,0.4369,0.4545,0.7790,0.7708,0.5790
102,qHRRWdWvjxI,,"Lead clarinetist playing a melody with an eastern scale accompanied by wind ensemble, cymbals and drums.",0.0765,instrument:cymbals,0.9823,musicgen_large,meanaudio,0.8572,0.9840,1,0.3182,0.2667,0.2934,0.2416,0.5913,0.5476,0.3432,0.5433
103,jlmCu2GMoG4,,This recording is full of flutes and string instruments played with a bow. All of them are playing melodies spread across the sides of the speakers. Someone is playing a percussion instrument and a male voice is singing in a higher key. To me it sounds overloaded with too many melodies playing at the same time. This song may be playing in a traditional presentation.,0.0767,instrument:flutes,0.9512,stable_audio_3,acestep_1_5,0.7612,0.9838,1,0.3202,0.2812,0.2834,0.2435,0.3562,0.5613,0.6380,0.4524
104,iBezxlI_f_c,,"The music features a female voice singing a melody in an unusual way. She's being accompanied by a usual setup: drums, bass guitar, electric guitar. The drummer relies more on the hi-hat and less on the other parts of the drum kit. The electric guitar strums chords.",0.0769,vocal:female vocal,0.9137,stable_audio_3,musicgen_large,0.9258,0.7965,1,0.2855,0.2831,0.2887,0.2118,0.5591,0.7203,0.7444,0.3436
105,0fCpAuxrQ_I,,"This song is a Rock instrumental. The tempo is medium fast with an aggressive electric guitar harmony, steady drumming, keyboard accompaniment, groovy bass lines. The audio quality is inferior so the finer aspects; are hard to detect. Overall the vibe of the song is intense,dangerous, sinister, spooky, goth, threatening and suspenseful. This song is Hard Rock/Metal.",0.0773,instrument:drums,0.9700,meanaudio,acestep_1_5,0.9325,0.9710,1,0.2371,0.3009,0.3143,0.2480,0.8279,0.6601,0.7329,0.8072
106,WRZGYDh7qRo,,This gothic rock song features a male voice singing the main melody. The melody is repetitive for each line. This is accompanied by percussion playing a simple rock beat in common time. A distortion guitar plays power chords. A synth plays a high pitched repetitive melody. This song has a suspenseful feel. This song can be played in a horror movie.,0.0774,genre:rock,0.9947,meanaudio,acestep_1_5,0.7451,0.9551,1,0.2064,0.1992,0.2386,0.1611,0.5758,0.6587,0.6943,0.2767
107,OR_YbeqV5tA,,"The song features a calm, gentle male vocalist. It feels like a soft pop ballad, with a slight rock influence. There's an electric guitar arpeggio, bongo drums, and a prominent bassline. The song feels like it would be suitable as a loving dedication to someone.",0.0775,genre:rock,0.9902,stable_audio_3,acestep_1_5,0.7224,0.8722,1,0.2716,0.3492,0.2867,0.2803,0.5944,0.6683,0.7407,0.5542
108,7ZXz3Xa7APs,,This is a tongue-in-cheek version of a reggae song edited to make it sound like a movie character was featured in it. It has a male vocal that starts singing with a Jamaican accent that turns into gibberish. Clean electric guitar and bass guitar provide the melodic background while the acoustic drums and percussion play a basic reggae beat for the rhythmic background.,0.0776,vocal:male vocal,0.9944,stable_audio_3,musicgen_large,0.8583,0.7258,1,0.3915,0.3961,0.4691,0.4645,0.6620,0.8912,0.6964,0.4965
109,oGbNzR_lpSk,,"The low quality recording features a loud wind and water splashing sound effects, while there is a widely spread electric guitar melody and marimba, followed by smooth bass, soft kick, shimmering shakers and tambourine playing in the background. It is noisy and it sounds like it was recorded with the phone, while the music was added in post production.",0.0781,instrument:electric guitar,0.9610,stable_audio_3,acestep_1_5,0.7286,0.8099,1,0.3144,0.3268,0.2487,0.2539,0.3638,0.6501,0.6612,0.3284
110,KqtlecvEOGw,,"The low quality recording features a drums solo at the very beginning of the loop, after which a pop song starts playing and it consists of a passionate female vocal singing over buzzy synth lead melody. The drums solo contains snare roll and shimmering cymbals. Overall it sounds exciting.",0.0783,vocal:female vocal,0.9840,stable_audio_3,musicgen_large,0.9541,0.9562,1,0.1990,0.2746,0.2357,0.2773,0.3806,0.7751,0.5212,0.5665
111,DMwvY--3XD0,,This children's song features the voices of children singing the  main melody. This is accompanied by percussion playing a simple beat. A keyboard plays the sounds of a marimba to give this song a reggae feel. The bass plays the root notes followed by a run at every chord change. This song has a happy mood. This song can be played in a children's animation movie.,0.0791,instrument:children's vocal,0.9857,stable_audio_3,musicgen_large,0.7704,0.9827,1,0.3606,0.4277,0.3486,0.3593,0.6662,0.8593,0.9054,0.5370
112,LTG-uVV_6q0,,"The low quality recording features a cover of a rock song and it consists of a passionate girl vocal singing over acoustic rhythm guitar chords and simple bass guitar. It sounds passionate, emotional, heartfelt, mellow and soft.",0.0794,instrument:vocal,0.9881,stable_audio_3,acestep_1_5,0.8376,0.6562,1,0.1571,0.1961,0.1996,0.2365,0.6618,0.8314,0.9191,0.3979
113,TWV3YLscSaw,,"The low quality recording features a passionate, reverberant male vocal singing over a wide arpeggiated acoustic guitar melody and acoustic guitar solo melody, followed by a simple bass. It sounds emotional and passionate.",0.0794,vocal:male vocal,0.9931,stable_audio_3,acestep_1_5,0.9637,0.9953,1,0.2851,0.3646,0.3556,0.3468,0.5298,0.8064,0.7704,0.4090
114,9Rx57dlJtIA,,"The low quality recording features a blues song that consists of a passionate male vocal singing over acoustic guitar melody in the left channel, muted acoustic guitar melody in the right channel of the stereo image, groovy bass, mellow snare and shimmering cymbals. It sounds passionate and emotional.",0.0803,vocal:male vocal,0.9935,stable_audio_3,acestep_1_5,0.7690,0.5899,1,0.3446,0.3178,0.3497,0.2694,0.4865,0.8663,0.7296,0.2544
115,9ZAmdxKLnhs,,This is a neo-soul music piece. There is a male vocal singing melodically with another male back vocal singing in a more erotic fashion. The tune is played with a keyboard and a synth. There is a mellow bass line in the background. An acoustic-sounding electronic drum kit provides the rhythmic background. The piece has a seductive atmosphere to it. It could be played at a nightclub during earlier hours. It could also work well as the jingle of a fashion/fragrance advertisement.,0.0803,vocal:male vocal,0.9690,meanaudio,musicgen_large,0.9209,0.9953,1,0.3301,0.4104,0.3379,0.3710,0.6513,0.7606,0.7949,0.6716
116,nUs5SJyQPnM,,"This music is an Indian classical instrumental. The tempo is fast with an animated Sitar lead, supported with rhythmic beats of lively tabla and dholak , along with a soft and subtle keyboard accompaniment. The music is upbeat, vibrant, vivacious, vigorous , engaging and captivating. This instrumental is a Hindustani classical.",0.0807,instrument:sitar,0.9595,stable_audio_3,acestep_1_5,0.7994,0.9293,1,0.4267,0.4498,0.4068,0.3691,0.9594,0.9161,0.8714,0.6669
117,nvuxMnSHHtg,,"The track features a cinematic ambience with different sound effects like waves or earthquake sounds. In the foreground there's a bright piano playing a melody with a positive vibe. The track sounds like an extract from a video game,",0.0810,instrument:piano,0.9395,stable_audio_3,musicgen_large,0.0467,0.9623,1,0.3389,0.3756,0.3410,0.4199,0.3928,0.9373,0.6893,0.9607
118,N0q5vPAsHLI,,"The low quality recording features a lullaby that contains wide sustained strings melody, leaning more towards the left channel and arpeggiated, mellow piano melody in the right channel of the stereo image. There is a short audio pop sound in the middle of the loop. It still sounds emotional and passionate.",0.0810,instrument:strings,0.9038,acestep_1_5,musicgen_large,0.6156,0.4466,1,0.3344,0.2877,0.2533,0.3162,0.6123,0.8321,0.6271,0.8287
119,9z4YXc9rjTo,,"The song has a tranquil and mellow vibe to it. It's a Christian worship song, with a singer that has a raspy tone to his voice and a calm approach to performing. The main instrumental factors are the acoustic guitar layers which are strummed, as well as piano chords and simple folk style drumming.",0.0811,instrument:drums,0.9234,musicgen_large,acestep_1_5,0.2318,0.7186,1,0.2423,0.3234,0.3231,0.2984,0.6599,0.5929,0.7289,0.5799
120,HvuHSr_yncE,,Someone is playing shakers before the acoustic drums come in with a loud fill and a groove with a lot of crash hits. Someone is playing chords on an e-guitar along with a synth plug melody with a lot of reverb. Another e-guitar is playing a melody on top. This song may be playing at a live festival.,0.0812,instrument:acoustic drums,0.9289,meanaudio,acestep_1_5,0.7904,0.9647,1,0.3183,0.2973,0.3338,0.3785,0.8090,0.5982,0.6481,0.4406
121,rmKh9uaikTU,,"The low quality recording features a live performance of a rock song that consists of flat male vocal singing over a wide electric guitar melody, groovy keys chords, located in the right channel of the stereo image, smooth bass guitar, shimmering open hats and hi hats and punchy kick and snare hits. It sounds groovy, funky and easygoing - like something you could lightly dance to.",0.0813,instrument:male vocal,0.9857,meanaudio,stable_audio_3,0.8886,0.2181,1,0.3025,0.2910,0.2212,0.2321,0.7071,0.5883,0.8706,0.4891
122,PmiH7RnCkhI,,"The low quality recording features an echoing electric guitar melody played over shimmering cymbals, groovy bass guitar and synth bells melody. It sounds weird, suspenseful and intense. The recording is noisy and in mono.",0.0816,instrument:cymbals,0.9801,stable_audio_3,acestep_1_5,0.5309,0.2168,1,0.2837,0.3530,0.3443,0.3653,0.6088,0.9310,0.6770,0.4813
123,LK6zk03lPlM,,This is a jingle piece in the background of a tech comparison video. There are various sound effects such as clock ticking and a camera shutter. The electric guitar is playing the same chord repeatedly with electronic drum hits to create an aura of tension. This piece can be used in advertisement jingles. It could also be used in the soundtrack of reality competition programs.,0.0818,mood_theme:tension,0.9907,meanaudio,acestep_1_5,-0.1275,0.6220,1,0.3677,0.3418,0.2996,0.3814,0.6020,0.8259,0.9170,0.7873
124,HCCGZh-TxK0,,"A male vocalist sings this light melody. The tempo is medium with a funky bass line, keyboards accompaniment; slick drumming, groovy electric guitar and acoustic guitar riff with female vocal backup. The song is light, punchy, buoyant, groovy, funky,insightful, reflective and melodic. This song is a spirited Reggae song.",0.0822,vocal:male vocal,0.9936,meanaudio,musicgen_large,0.7751,0.9914,1,0.4024,0.4845,0.4147,0.4090,0.6477,0.7863,0.7514,0.6249
125,hBT0bbJl1dU,,"The low quality recording features a groovy piano melody, mellow cello melody and brass melody. It sounds emotional and passionate, while the recording is noisy.",0.0822,instrument:piano,0.9922,musicgen_large,stable_audio_3,0.9419,0.8927,1,0.2644,0.3340,0.2518,0.2573,0.7247,0.5984,0.5658,0.3782
126,MP7KPlqoQW0,,"The song is an instrumental. The song is medium tempo with a slick drumming rhythm, grunge keyboard tones, overdriven synth tones and string pad section. The song is groovy and exciting. The audio quality is poor in general.",0.0822,instrument:drums,0.9939,musicgen_large,acestep_1_5,0.9152,0.9824,1,0.1209,0.2032,0.1880,0.1828,0.7989,0.5578,0.8248,0.5685
127,gjJWbtCShqo,,"This slow rock song starts off with a male voice that pauses after one word. This is accompanied by percussion playing a marching beat. Synth strings play chords in the background. Bass notes follow the root notes of the chords. After the voice pauses, a repetitive melody is played on the synth and the chords change on the other instruments. The percussion continues to play the marching beat. This song can be played in a war scene in a movie.",0.0825,instrument:male vocal,0.9979,stable_audio_3,acestep_1_5,0.6790,0.9864,1,0.1641,0.2152,0.2003,0.1327,0.4241,0.6210,0.6454,0.3351
128,euAQCWBX6ns,,"A male singer sings this cheerful melody with backup singers in vocal harmony. The song is medium tempo with a reggae style drum and guitar accompaniment, guitar lead and a groovy bass line. The song is romantic and cheerful . The song is a Latin pop dance song. The audio quality is average.",0.0826,vocal:male vocal,0.9949,stable_audio_3,acestep_1_5,0.9274,0.9939,1,0.3776,0.3950,0.4245,0.4602,0.4833,0.8638,0.8316,0.5621
129,vgpV6F9tge8,,Someone is playing an acoustic guitar along with someone playing a solo melody on top with another plucked string instrument. They are accompanied by someone playing a djembe or another percussive instrument. This song may be playing sitting around a bonfire.,0.0834,instrument:acoustic guitar,0.9967,musicgen_large,meanaudio,0.9630,0.9517,1,0.2421,0.3178,0.3255,0.2933,0.7515,0.9713,0.4972,0.6900
130,fQiSoVDFRjo,,This alternative rock song features a male voice singing the main melody at a high pitch. Other male voices sing in harmony after the main voice pauses. This is accompanied by powerful percussion playing a rock beat in common time. Distortion guitars play power chords. One of the guitars plays the same melody as the backing voices on the lead guitar. The bass plays the root notes of the chords. This song is played at a moderate tempo. The mood of this song is upbeat. This song can be played in a Transformers style movie.,0.0835,instrument:male vocal,0.9937,stable_audio_3,acestep_1_5,0.8565,0.5841,1,0.1218,0.2053,0.1685,0.1927,0.6956,0.9673,0.8506,0.4230
131,a2Wuroc8DQU,,This clip features a melody played by violins and flutes. This is a low quality recording. There is no percussion in this song. Hand claps are played on every count. This is a folk song which has a happy mood. There is no voice in this song. This song can be used in a movie scene where somebody enters a castle to meet medieval royalty.,0.0840,instrument:flutes,0.9920,meanaudio,musicgen_large,0.9322,0.9644,1,0.4155,0.4966,0.4620,0.4125,0.8488,0.8714,0.6783,0.7031
132,GNjsxLdSwHI,,"The low quality recording features a classical music played by orchestra that consists of staccato string melody, woodwinds melody, staccato brass melody and solo, low tuba melody. The recording is a bit noisy and it sounds like background music for old movies.",0.0848,instrument:brass,0.9970,stable_audio_3,acestep_1_5,0.3697,0.9600,1,0.3857,0.3962,0.3467,0.3114,0.9807,0.7640,0.8279,0.4965
133,UDN11Q90Fa4,,"A male vocalist sings this soft pop. The tempo is slow with a simple piano accompaniment, mellow acoustic guitar and rhythmic Cajun beats. The song is a simple, unaffected, romantic, melodic, sentimental, emotional and pensive Pop.",0.0848,vocal:male vocal,0.9936,meanaudio,acestep_1_5,0.9661,0.9959,1,0.2479,0.3180,0.2332,0.2781,0.6657,0.7043,0.7347,0.5881
134,YXDHyD4HU0E,,"The low quality recording features a passionate male vocal singing over groovy bass piano melody, muted brass melody, sustained strings melody and shimmering hi hats. It sounds passionate and soulful.",0.0854,vocal:male vocal,0.9951,stable_audio_3,acestep_1_5,0.9482,0.9963,1,0.1479,0.2333,0.1483,0.1660,0.5101,0.4673,0.7467,0.4278
135,yKx_RFUTPfI,,A digital drum is playing a hardstyle beat with a punching kick with a sub sound. Synthesizers/samples are playing industrial digital sounds as a melody. A female voice sample is singing a soulful sequence for a moment. This song may be playing in a club.,0.0857,vocal:female vocal,0.9872,stable_audio_3,musicgen_large,0.9356,0.9902,1,0.2808,0.3443,0.2587,0.2691,0.4346,0.7379,0.6461,0.5004
136,YcWJUHWt-64,,"The low quality recording features a Twoubadou song that consists of flat male vocal singing over acoustic guitar melody, arpeggiated guitar melody, syncopated rimshots, shimmering shakers, smooth bass and wooden percussive elements. Even though it is noisy, it sounds fun and happy - like something you would want to dance to.",0.0863,instrument:male vocal,0.9941,stable_audio_3,acestep_1_5,0.9169,0.9063,1,0.3396,0.2986,0.2533,0.3050,0.7406,0.6737,0.4986,0.5597
137,1yGWdegJjA4,,"Instrumental electro music with a half time feel in the kick and busy drums. The bass is constantly busy, with resonant filter sweeps for dramatic effect. There are multiple overlapping high synth melodies with big sounding reverb throughout. Perfect for a large outdoor or stadium EDM festival.",0.0869,instrument:drums,0.9789,musicgen_large,acestep_1_5,0.8194,0.5728,1,0.2693,0.3287,0.2591,0.2418,0.9778,0.9670,0.9675,0.6437
